,Username,Followers,Likes Avg.,influencer_id,commission
47,shawnmendes,69407554,3500515.0,48,0.01
48,nba,68938585,374008.6914285715,49,0.01
49,narendramodi,68330604,2953851.5,50,0.01
50,jennierubyjane,68085856,5080827.583333333,51,0.01
51,deepikapadukone,67796542,1544528.95,52,0.01
52,tomholland2013,67657871,5408241.0,53,0.01
53,aliaabhatt,67428908,1759431.125,54,0.01
54,ronaldinho,67398061,891414.0833333333,55,0.01
55,emmawatson,67107508,1858345.0,56,0.01
56,bts.bighitofficial,65962589,4172263.1666666665,57,0.01
57,katrinakaif,65597009,1674335.25,58,0.01
58,justintimberlake,65477707,614677.0,59,0.01
59,marvel,65358436,328737.6,60,0.01
60,camila_cabello,64375364,1853523.9285714289,61,0.01
61,willsmith,64260079,1408560.3333333333,62,0.01
62,raffinagita1717,62899363,387143.96774193546,63,0.01
63,anitta,62896138,857234.1124999999,64,0.01
64,maluma,62706097,1195150.8154761903,65,0.01
65,akshaykumar,62614053,1516770.0,66,0.01
66,jacquelinef143,62118961,1143262.3333333333,67,0.01
67,sooyaaa__,62062471,4493906.633333334,68,0.01
68,psg,61178714,508990.4477513228,69,0.01
69,roses_are_rosie,60940323,4586884.9375,70,0.01
70,anushkasharma,59276468,1925204.75,71,0.01
71,manchesterunited,58974258,384605.4114219114,72,0.01
72,whinderssonnunes,58591940,1616371.15,73,0.01
73,9gag,58181054,678711.3186489217,74,0.01
74,marcelotwelve,57439765,693038.1666666666,75,0.01
75,karimbenzema,55869867,876565.0,76,0.01
76,chrishemsworth,55165178,2745384.0,77,0.01
77,paulpogba,54634350,1397068.0,78,0.01
78,iamzlatanibrahimovic,54512391,1541239.4166666667,79,0.01
79,karolg,54422099,3028630.75,80,0.01
80,leonardodicaprio,54158640,398191.4166666667,81,0.01
81,milliebobbybrown,54105006,3987302.6666666665,82,0.01
82,juventus,54054171,201090.7333333333,83,0.01
83,zacefron,53887887,2262103.5,84,0.01
84,tatawerneck,53554512,976812.5,85,0.01
85,bellahadid,53359256,1132707.392857143,86,0.01
86,robertdowneyjr,53210425,2984656.25,87,0.01
87,sunnyleone,53190031,769200.1041666666,88,0.01
88,ladygaga,53092230,1435302.7666666668,89,0.01
89,beingsalmankhan,52980205,1399897.75,90,0.01
90,jbalvin,52762698,920868.0,91,0.01
91,sergioramos,52261132,966414.75,92,0.01
92,ayutingting92,52170594,149139.97506493505,93,0.01
93,dishapatani,52062772,1615190.0,94,0.01
94,mosalah,51823495,1786297.25,95,0.01
95,433,50846051,863448.1813186815,96,0.01
96,hudabeauty,50651842,187183.89166666663,97,0.01
97,adele,50542177,4739484.5,98,0.01
98,michelleobama,50389066,707602.75,99,0.01
99,jamesrodriguez10,49753046,1414736.5,100,0.01
100,kritisanon,49721095,898828.3333333334,101,0.01
101,krisjenner,49106907,354127.38690476195,102,0.01
102,lelepons,49030990,2414815.0,103,0.01
103,charlidamelio,48873294,4278895.0,104,0.01
104,gucci,48757827,116555.03703703702,105,0.01
105,louisvuitton,48520702,131578.75,106,0.01
106,prillylatuconsina96,48422538,377882.0,107,0.01
107,dovecameron,48100914,1609562.9166666667,108,0.01
108,garethbale11,47821374,764641.0,109,0.01
109,paulodybala,47720068,1791513.8125,110,0.01
110,blackpinkofficial,47647921,2116102.0,111,0.01
111,jokowi,47352198,458723.7596153846,112,0.01
112,nusr_et,46891641,730786.5833333334,113,0.01
113,5.min.crafts,46618064,157499.2095441595,114,0.01
114,vanessahudgens,46343441,636092.6530612245,115,0.01
115,thv,46328487,15538683.0,116,0.01
116,harrystyles,46292534,4896516.5,117,0.01
117,zayn,46197756,4713926.5,118,0.01
118,larissamanoela,46091767,579900.9357142857,119,0.01
119,haileybieber,45916230,2012107.0,120,0.01
120,thenotoriousmma,45822094,1137054.125,121,0.01
121,daddyyankee,45807054,650651.25,122,0.01
122,travisscott,45803997,3014369.75,123,0.01
123,natgeotravel,45782549,189864.001376989,124,0.01
124,nikefootball,45180601,431240.25,125,0.01
125,stephencurry30,44569769,1090495.75,126,0.01
126,vancityreynolds,44507303,1366929.0,127,0.01
127,luissuarez9,44043371,801790.5,128,0.01
128,maisa,43950253,564755.7333333333,129,0.01
129,gusttavolima,43727522,476983.7142857143,130,0.01
130,hrithikroshan,43427057,1615511.5,131,0.01
131,nickyjam,43340622,383991.925,132,0.01
132,jannatzubair29,43312974,1326973.625,133,0.01
133,varundvn,43215034,1065018.25,134,0.01
134,brunamarquezine,43067731,1002055.0,135,0.01
135,caradelevingne,42991683,806313.0,136,0.01
136,buzzfeedtasty,42970746,67247.14945736433,137,0.01
137,kapilsharma,42000622,664476.0,138,0.01
138,britneyspears,41807497,523267.0714285714,139,0.01
139,mariliamendoncacantora,41681598,1058071.0,140,0.01
140,badbunnypr,41310397,3644587.5,141,0.01
141,dior,41223938,88831.49753694581,142,0.01
142,norafatehi,41161527,1364004.6,143,0.01
143,jenniferaniston,40741767,4565592.5,144,0.01
144,marinaruybarbosa,40573646,586382.3333333334,145,0.01
145,addisonraee,40402560,3150451.0,146,0.01
146,theweeknd,40223677,1141438.6666666667,147,0.01
147,ranveersingh,40112340,1015087.5,148,0.01
148,andresiniesta8,39745058,250762.07142857145,149,0.01
149,princessyahrini,39581466,118171.125,150,0.01
150,liverpoolfc,39515025,346707.99613784906,151,0.01
151,teddysphotos,39439449,738566.85,152,0.01
152,georginagio,39025459,2237436.0,153,0.01
153,natashawilona12,38846946,489665.375,154,0.01
154,ruben_onsu,38776943,139324.50785773367,155,0.01
155,mahi7781,38747041,4054863.25,156,0.01
156,chrissyteigen,38516696,631385.875,157,0.01
157,hm,38465468,89143.59722222222,158,0.01
158,wizkhalifa,38459483,402888.9,159,0.01
159,j.m,38138950,14124890.5,160,0.01
160,anushkasen0408,37993409,695413.1192307692,161,0.01
161,worldstar,37818287,157546.17819540395,162,0.01
162,prattprattpratt,37405186,813539.0,163,0.01
163,marvelstudios,37389526,594215.25,164,0.01
164,WesleySafadao,37149804,256129.7357142857,165,0.01
165,parineetichopra,36973458,505700.3333333334,166,0.01
166,cznburak,36935601,816501.0,167,0.01
167,laudyacynthiabella,36677982,172773.75,168,0.01
168,antogriezmann,36381765,1132433.0,169,0.01
169,gisel_la,36318320,152328.63333333333,170,0.01
170,eminem,36182573,1093015.5,171,0.01
171,rkive,36005772,10938709.25,172,0.01
172,colesprouse,35979076,2286897.5,173,0.01
173,nattinatasha,35925441,517671.2916666667,174,0.01
174,mercedesbenz,35833928,197897.8542694497,175,0.01
175,tigerjackieshroff,35453527,1110818.8333333333,176,0.01
176,barackobama,35433452,1130236.5,177,0.01
177,shahidkapoor,35378098,1294704.75,178,0.01
178,kimberly.loaiza,35190427,2668449.0,179,0.01
179,sachintendulkar,35033518,800379.5,180,0.01
180,simoneses,34784799,425578.3333333333,181,0.01
181,ivetesangalo,34714162,234006.2142857143,182,0.01
182,paollaoliveirareal,34565086,367804.9722222223,183,0.01
183,lunamaya,34486065,145525.50595238095,184,0.01
184,dannapaola,34446899,1458303.625,185,0.01
185,blakelively,34420991,3222808.5,186,0.01
186,toni.kr8s,34281435,597179.75,187,0.01
187,adidasoriginals,34246782,151286.6,188,0.01
188,disney,33912535,185166.2341269841,189,0.01
189,shaymitchell,33777981,754879.925,190,0.01
190,khabib_nurmagomedov,33561258,693615.5178571428,191,0.01
191,bmw,33536702,232946.5344611529,192,0.01
192,zidane,33177179,1059596.0,193,0.01
193,nancyajram,33102343,391202.1666666667,194,0.01
194,sonamkapoor,33043019,264547.2055555556,195,0.01
195,luansantana,33024460,205587.9583333333,196,0.01
196,danbilzerian,32938902,2044189.0,197,0.01
197,nickjonas,32906383,744225.6666666666,198,0.01
198,gururandhawa,32845959,637758.25,199,0.01
199,iambeckyg,32812027,625421.4761904763,200,0.01
